And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,SundariSandriux
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,lillygabbi
@abcnews @SBSNews @9NewsSyd @Y7News @GuardianAus @unionsaustralia #auspol @channeltennews @AustralianLabor… https://t.co/T1S4q57OAw,sammonford
@guardian @HuffPost @nytimesworld @BBCWorld @CNN @washingtonpost @DeutscheWelle @Reuters @Channel4News @PBS… https://t.co/pmcnTsAOT5,sammonford
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",sammonford
Worker dies after shooting outside Kansas elementary school https://t.co/CULQiKpfrX,VetsUnitedMarch
Jesus is the only answer for a criminal mind.  #agm #Jesus #onlyway https://t.co/GOKwUtggSh,_AGMinistries
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/ehz0BHK9Ae https://t.co/Ulj7BdYCKC,wusa9
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,JPiperLee
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",GracielaHaschke
Another day in America https://t.co/d0x5O3tnFZ,doc_next
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Paul_Agusta
RT @wusa9: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/ehz0BHK9Ae https://t.co/Ulj7BdYCKC,debfrisch
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",GhettoBoxMan
HOW MANY MORE HOW MANY MORE https://t.co/TMUlWil1km,iAsianUnicorn
RT @matt_maloney25: it's alarming to me that i saw this  shrugged and kept scrolling because i'm so DAMN USED TO THESE HEADLINES. THIS COUN…,TylerAnthonyyy
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,AlysnCunningham
RT @7News: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,Fuze83
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/9sq8lVmsjq So since… https://t.co/SbqpD4aEDv,dadd55
RT @doc_next: Another day in America https://t.co/d0x5O3tnFZ,120WeirdAvenue
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,td_swanson1971
RT @dadd55: Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/9sq8lVmsjq So since no names we…,LylajoyRose
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,HeatherPiers
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,swimmerkw
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/JPSGpnRkwh https://t.co/KDyTK3sPie,12NewsNow
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,AnteeBest
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,DeanBrowncrayon
2 in critical condition from shooting at elementary school: Police  https://t.co/LDoO8DtX4j,MikeYoung1975
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
Worker dies  another critically wounded after shooting outside elementary school https://t.co/L6miswUZLq,JackGJewett
2 contractors critically wounded in Kansas school shooting https://t.co/b0LIdayQS8,ThomasCMayes
Two critically wounded in shooting outside Kansas elementary school https://t.co/J2DfZglkt5,SCMP_News
VIDEO: Suspect in custody after double shooting at Kansas elementary school playground - https://t.co/YJs0Vef8sy https://t.co/bSpf8f4omh,WeberNetwork
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,JennyWadhwa1
2 contractors critically wounded in Kansas school shooting https://t.co/9mEvHp5HzO,deenie7940
The suspect has been identified as 32-year-old Anthony David Grable of Kansas City. Story: https://t.co/7jEZTacNmd,RudyKCTV5
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,Mary_8675
The suspect has been identified as 32-year-old Anthony David Grable of Kansas City. We'll have the latest details o… https://t.co/DICScahQAe,RudyKCTV5
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/4IPVKb4Doz https://t.co/4HbXKwrQ1j,ABC10
RT @WTHRcom: The suspect stole a vehicle after shooting two employees at an elementary school in Overland Park  Kansas. The suspect is stil…,AnteeBest
RT @jrussell20941: Here’s an example of “fake” real news. Today’s headline “School Shooting in Kansas” it did happen at a school  no studen…,Lmc_TX1991
RT @jrussell20941: Here’s an example of “fake” real news. Today’s headline “School Shooting in Kansas” it did happen at a school  no studen…,tellilikeitis
RT @RudyKCTV5: The suspect has been identified as 32-year-old Anthony David Grable of Kansas City. We'll have the latest details on @KCTV5…,KCTV5
RT @SCMP_News: Two critically wounded in shooting outside Kansas elementary school https://t.co/J2DfZglkt5,AkseliGran
RT @RudyKCTV5: The suspect has been identified as 32-year-old Anthony David Grable of Kansas City. We'll have the latest details on @KCTV5…,summerwine22
RT @RudyKCTV5: The suspect has been identified as 32-year-old Anthony David Grable of Kansas City. We'll have the latest details on @KCTV5…,SavannahRudicel
"Don't insult what happened at Parkland or Santa Fe or any other school and call what happened in Kansas today a ""school shooting"".",Bondedservant
RT @RudyKCTV5: The suspect has been identified as 32-year-old Anthony David Grable of Kansas City. We'll have the latest details on @KCTV5…,AndrewHavKY3
RT @XHNews: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansas  accor…,s_k_agarwal_nmb
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/vANY0FUNeE,pareising
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
Two shot in an elementary school in U.S. State of Kansas  says report@en.people.cn: Schools and colleges in US have… https://t.co/8drmTfNMk2,vzc1943
RT @vandanarambaran: BREAKING: Two Critically Injured In Kansas Shooting At Elementary School https://t.co/5dIj3wDWT3,welenaelena
I added a video to a @YouTube playlist https://t.co/vTOUb9GJNI 2 shot near Kansas elementary school,somewheredelta
Add... Two workers shot at Kansas elementary school https://t.co/77kbUD40hP https://t.co/PwgzwuE1sg,AlamoOnTheRise
@realdonaldtrump @whitehouse @FBI @nytimes @nbcnews @foxnews @BBC @USAGSessions 6 666 @abcnews @CNN @MitchMcConnell… https://t.co/YhgKzC0MZm,HaveIGotAnswers
Shooting at Kansas elementary school reportedly leaves 2 construction workers in critical condition… https://t.co/gc7TsksR2z,SecresspSharo
2 injured in shooting outside elementary school in Kansas https://t.co/nIwcufbKib https://t.co/8HlcgSncBu,WALBNews10
RT @ABC30: #BREAKING 2 workers shot  wounded at Kansas elementary school  no students hurt https://t.co/lW1WykBn4t https://t.co/1OqHlEsJcA,TheyLoveSelena
@realdonaldtrump @whitehouse @FBI @nytimes @nbcnews @foxnews @BBC @USAGSessions 6 666 @abcnews @CNN @MitchMcConnell… https://t.co/CbGRb89bQH,HaveIGotAnswers
@realdonaldtrump @whitehouse @FBI @nytimes @nbcnews @foxnews @BBC @USAGSessions 6 666 @abcnews @CNN @MitchMcConnell… https://t.co/OC8aXixLNe,HaveIGotAnswers
(19) Suspect in custody after double shooting at Kansas elementary school playground - YouTube https://t.co/qEww27TtCT,ExposingMiLabs
We still need stricter gun control #NeverAgain https://t.co/Nd12iugzKD,ArchieHellshire
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,keelee231
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,tboyd1005
2 contractors critically wounded in Kansas school shooting https://t.co/FjPaUyzq3v,Ni6AVknHPbVppEA
Worker dies after shooting outside Kansas elementary school https://t.co/lYR33RqyLA,alfromct
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",mexican_leona
I added a video to a @YouTube playlist https://t.co/ib67kDE3UK 2 Workers Shot  At Kansas Elementary School,somewheredelta
The Chicago Tribune reports on a Overland Park Kansas school shooting between 2 contractors while their city OVERFL… https://t.co/345kiEIL5F,Firstshirt1064
Shooting wounds workers outside Kansas elementary school Shooting wounds workers outside Kansas elementary school https://t.co/XYW2jC7m4b,Tree_Spider
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,KcmoCane
@realdonaldtrump @whitehouse @FBI @TXAG @Kens5 @nbcnews @foxnews @BBC @USAGSessions 6 666 @abcnews @MitchMcConnell… https://t.co/bWl2xdkYed,HaveIGotAnswers
Man arrested in shooting of 2 workers at Kansas elementary school https://t.co/rpTi3pbwS1,IPOEmpire
@realdonaldtrump @whitehouse @FBI @TXAG @Kens5 @nbcnews @foxnews @BBC @USAGSessions 6 666 @abcnews @MitchMcConnell… https://t.co/R5X051yz4e,HaveIGotAnswers
RT @alfromct: Worker dies after shooting outside Kansas elementary school https://t.co/lYR33RqyLA,moorehead_agnes
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,MelissaFoersch2
RT @RudyKCTV5: The suspect has been identified as 32-year-old Anthony David Grable of Kansas City. We'll have the latest details on @KCTV5…,PDQACCESSORIES
@realdonaldtrump @whitehouse @FBI @TXAG @Kens5 @nbcnews @foxnews @BBC @USAGSessions 6 666 @abcnews @MitchMcConnell… https://t.co/iRcNYHAU0U,HaveIGotAnswers
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,MissMoNoise
RT @WALBNews10: 2 injured in shooting outside elementary school in Kansas https://t.co/nIwcufbKib https://t.co/8HlcgSncBu,star_sings
RT @addie_1122: Overland Park  Kansas shooting: Two workers critically wounded outside elementary school https://t.co/Ok5RQnnueb,Kyle_Barker_esq
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,AnteeBest
RT @ColdSparkNews: BREAKING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansa…,RaymondeWinkle1
RT @XHNews: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansas  accor…,Albert_CHPM
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,Mary_Burgess
RT @Independent: Two shot in Kansas school shooting https://t.co/iZsSx4LHgG,alienobserver1
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,DCunnin28379642
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/tzgPvgYIWS,AngelicFusion
Remember playing him in elementary school 💯 https://t.co/aYXUuYkQfh,_rjhart
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,Han_inthemirror
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,rose2art
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,_Dr_Revan_
RT @bcuz135: 2 workers shot at elementary school in Overland Park  Kansas https://t.co/xxKGBfAIQe,bargainpinball
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,La_karmelita
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/Iaep0CvDIs,StewartTheone
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
One contractor dies and another is wounded in a shooting outside a Kansas school https://t.co/L1b3V8JDP3,PittsburghPG
Two Adults Wounded in Shooting at Kansas School https://t.co/FVnvEOu6e7,LAHT
RT @ABC7Chicago: 2 workers shot  wounded at Kansas elementary school: https://t.co/EBz4PAkglH https://t.co/f9YLAxLY0v,VinceSage
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/iDXYhdq6hx #QProofs,JimmyEd5
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,CoreyOgle1
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,MENewell3
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,peter_scarfo
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,KCSunshineMom
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/znpI7tx3BO,FOP118
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,khallbooks
RT @XHNews: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansas  accor…,NKHarsha1
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",jones410
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,KyBetsy
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,kremmen64
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,commongunsense
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,ArwenHalfelven
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,linda_gottlieb
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/yKxNtAahcF,NerdsRuleInc1
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
Never ends over there does it 🤦‍♀️ there is a better way to live. https://t.co/nm0zHk9pIK,Chelleshome
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,PeacefLpatriot
Shooting wounds workers outside Kansas elementary school https://t.co/q1ouRMRyoK,NerdsRuleInc1
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,fiaharmony
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",Kiraroshi1976
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,siris0077
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/uky6L0xjDT,Agent99XXX
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Chapzer
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,yuuji_K1
RT @PittsburghPG: One contractor dies and another is wounded in a shooting outside a Kansas school https://t.co/L1b3V8JDP3,bp1458
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,WuJess
"RT @ABCWorldNews: ""LOCK YOUR DOORS"": A Kansas neighborhood was placed on lock down after a deadly shooting outside an elementary school  le…",omatron3000
RT @thehill: Two workers shot at Kansas elementary school https://t.co/JnkYzsm6ZC https://t.co/zfw3Blyxq2,ne1for23
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,gcc6662020
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,_belabo_
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,KarlieWarne
Two shot in Kansas school shooting https://t.co/fkk7b7TCwS,MoAkram8
RT @ABC: MORE: Suspect in shooting at Kansas elementary school still at large  police say. Suspect was a co-worker of the two victims.  Sch…,JayOkri
And another one. https://t.co/B7204FIMWg,AxlRushOH
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,mjane1000
2 Workers Shot  At #Kansas Elementary School: https://t.co/WGtYTwS7lm via @YouTube,tigs88
RT @tigs88: 2 Workers Shot  At #Kansas Elementary School: https://t.co/WGtYTwS7lm via @YouTube,MoragSievwright
Two workers shot outside Kansas elementary school https://t.co/x7OGjGIhLf,ihatewater11
RT @WTHRcom: The suspect stole a vehicle after shooting two employees at an elementary school in Overland Park  Kansas. The suspect is stil…,scoticus
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,yngsambam
RT @XHNews: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansas  accor…,Nuriya4N
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Andre3Verzaal
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Andre3Verzaal
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/sQ54xekUVQ,griffbos
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,sammyonye3
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,esetink
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,wavyy_cam
RT @jilevin: Overland Park  Kansas  Elementary School Shooting: Two Workers Shot at Sunrise Point  Live Updates https://t.co/bUWnfXbaW1,A1l1g1p1
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,HammerTime_419
Shooting Outside School Bizarre to Say the Least https://t.co/8X609t2nfs https://t.co/KZ3Zy5geze,zesty_usa
Worker dies  another critically wounded after shooting outside elementary school https://t.co/DnAFaYRkFl,MonicaMay15
https://t.co/FA4IjRjtCI,MaggieSimi
David Grable https://t.co/FA4IjRjtCI,MaggieSimi
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Raymond87045830
RT @XHNews: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansas  accor…,thug_yong_pop
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Mikerfmoses
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,TorbenMller10
Two Adults Wounded in Shooting at Kansas School https://t.co/MmVp3Q8J0K,El_Grillo1
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/bGsaDnBagA,BEARZBEARZBEARZ
RT @DJBig6: 2 Workers Critically Injured After Shooting Outside Kansas Elementary School! - https://t.co/l80daBvHCY via @Worldstar,gaptoothbaldy
RT @tigs88: 2 Workers Shot  At #Kansas Elementary School: https://t.co/WGtYTwS7lm via @YouTube,USBizDirectory2
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/u61GjGQt5M,TonyasDDesigns
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/fnw9K6V94J https://t.co/erh2NPGNcB,kare11
Worker dies  another critically wounded after shooting outside elementary school https://t.co/O88Mb1Rwrv… https://t.co/okHhfOElyk,NewsLoops
RT @NeilsonInfo: Two workers shot at Kansas elementary school https://t.co/ld1JZnb2F1,Katalonien2018
bluelivesmtr: BREAKING: Two Shot at Kansas Elementary School #BlueLivesMatter #BackTheBlue Full Story… https://t.co/e1Mps1ixzu,MrsESK
Suspect in custody after double shooting at Kansas elementary school playground https://t.co/AVHk6ARRLE,poptopitnews
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,kittirouk
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,demismith70
Two workers critically wounded in shooting at Kansas school https://t.co/WPqPFrKgtd,etdbrief_ro_1
There was a school shooting in the us yesterday according the independent. This was the only UK news outlet I could… https://t.co/vbZ4E8TVzz,Kellineil
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,music_lovie
Co-worker allegedly shoots 2 contractors installing playground equipment; 1 killed  1 critically hurt https://t.co/BvZeDUJC6U,kxly4news
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,TheFebrileMuse
RT @DrTontus: Suspect arrested in #shooting of two construction workers at #BlueValley school @bvschools  #Kansas by TONY RIZZO @cronkb @ro…,edjlazar
"2 contractors critically wounded in Kansas school shooting &lt;img src=""https://t.co/aiZK1jBdg0"" height=""1"" width=""1""… https://t.co/XT36QKn0MG",cheryljustinqa
⚠️ https://t.co/Zl00SlaRpV,GrisClaro_twit
"2 contractors critically wounded in Kansas school shooting &lt;img src=""https://t.co/cwkyFxnNae"" height=""1"" width=""1""… https://t.co/EkZBg1lPKA",FaithRitanw
Man killed in shooting outside Kansas elementary school https://t.co/oUBeBJcm9d #PinoyGovernmentForums #PinoyGovernment #PinoyGovt #PGF,PinoyGovt
YET ANOTHER SHOOTING!! #GunSense NOW  @SenateDems HouseDemocrats @SenateGOP!!  1 dead  1 injured in shooting outsid… https://t.co/eVj3zEXFwu,redhed67
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/b9S66HbEdm https://t.co/Nj9hcGUiCv,KAGSnews
RT @dahboo7: #breaking : Suspect in shooting at #Kansas elementary school still at large  police say. Suspect was a co-worker of the two vi…,KCSFINEST75
RT @dahboo7: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect.,KCSFINEST75
"2 contractors critically wounded in Kansas school shooting &lt;img src=""https://t.co/VeRTyISg3z"" height=""1"" width=""1""… https://t.co/eAQDxfJq4H",CarolKristin2
"2 contractors critically wounded in Kansas school shooting &lt;img src=""https://t.co/J2sUdseVEV"" height=""1"" width=""1""… https://t.co/fUoKhr3X7o",butlercarolyntd
"2 contractors critically wounded in Kansas school shooting &lt;img src=""https://t.co/ekDdA5NcLI"" height=""1"" width=""1""… https://t.co/BYgxOK8IGn",christinsaeste1
2 contractors critically wounded in Kansas school shooting https://t.co/zbwPQ8zaoa,chrisanejeanpm9
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/qrLbOc5AiL https://t.co/BFeOn32bgE,wkyc
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/M2lnwYDzY9 https://t.co/OEiPSi4oUB,kytxcbs19
2 contractors critically wounded in Kansas school shooting https://t.co/mBuQayhuHl,AlexSuzannema
2 contractors critically wounded in Kansas school shooting https://t.co/SrHQpZMznq,chrisanejeanpm9
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,oranges4n
RT @Independent: Two shot in Kansas school shooting https://t.co/iZsSx4LHgG,pacocela
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Elljay1011
RT @WKYTBreaking: BREAKING: Television stations are reporting the shooting happened at a suburban Kansas City elementary school. This story…,flowersthe56th
2 contractors critically wounded in Kansas school shooting https://t.co/l0QJZmXp78,cheryljustinqa
"2 contractors critically wounded in Kansas school shooting &lt;img src=""https://t.co/CuHtwmrs6b"" height=""1"" width=""1""… https://t.co/sfWRXdgXFw",carmanmelanieve
2 contractors critically wounded in Kansas school shooting https://t.co/KvxJMCdDa0,christinsaeste1
2 contractors critically wounded in Kansas school shooting https://t.co/U2dUUdrGg1,carmanmelanieve
2 contractors critically wounded in Kansas school shooting https://t.co/TiK2FStLuk,CarolKristin2
Two Workers Shot  At Kansas Elementary School: https://t.co/UlDGgR12pX via @YouTube,PigmineNews
Suspect In Custody After Double Shooting At Kansas Elementary School Playground: https://t.co/ogIInzMFB1 via @YouTube,PigmineNews
Worker dies after shooting outside Kansas elementary school https://t.co/bz4lvXPCEM,trending_N
Two shot in Kansas school shooting https://t.co/BFWilMFD9h,RobMax4
RT @BIZPACReview: Breaking: Two critically injured in shooting at Kansas elementary school https://t.co/KEJnBqHJfc https://t.co/suBi1dCyOT,LovToRideMyTrek
1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody - https://t.co/Myqh5tJAjF https://t.co/7xQMN0VsNG,WTOL11Toledo
#BreakingNews Worker dies after shooting outside Kansas elementary school https://t.co/3Sv6AqXVIt https://t.co/M1myD7Oceb,charminedal
Oh lord.. https://t.co/5bBRTS4Dew,amdavadi
How many more.... Just how many? These are mere kids for God's sake... https://t.co/5bBRTS4Dew,amdavadi
RT @WTOL11Toledo: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody - https://t.co/Myqh5tJAjF https://t…,lovelysherii
Two shot in Kansas school shooting https://t.co/VSrFatZDi1,KunstundKlang
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,RowenaGreen
RT @WTOL11Toledo: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody - https://t.co/Myqh5tJAjF https://t…,JonnyXGaming
I've just posted a new blog: Worker dies after shooting outside Kansas elementary school https://t.co/bz4lvXPCEM,trending_N
RT @dahboo7: #breaking : Suspect in shooting at #Kansas elementary school still at large  police say. Suspect was a co-worker of the two vi…,cher1511
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/T1Xad4NxFy,dhorton74
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/worfGdeufm https://t.co/J8Gfpson7z,vegaslifetoday
Everyday it gets worse and still these Murders get their 15 minutes of fame. https://t.co/xcFfcTxRrL,CaroleBreedlov6
"It's interesting how the information on the Kansas ""school"" shooting just stopped coming.",JensonTaylor
2 contractors critically wounded in Kansas school shooting https://t.co/KGDIAZsBAM,PenguinChillieh
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/jnnfpyrrjU https://t.co/nYiT5xIwgr,13wmaznews
One person was killed and another was critically injured in a shooting outside an elementary school in the Kansas C… https://t.co/1nGh8Xc9Li,AntiPedoTX
https://t.co/GtD10LvSZd,the_mantese
Thank you to all of the Kansas @MomsDemand volunteers who work so hard to enact common sense gun legislation in Kan… https://t.co/zrBafGfcF8,JoDeeAdelung
RT @OANN: #DEVELOPING : 2 Workers Shot at Kansas Elementary School  Search for Suspect Underway - https://t.co/mRPgqplxz1 #OANN https://t.c…,WatchPickWin
RT @OANN: #BREAKING: 2 workers have been shot outside of Sunrise Elementary School in Kansas  no reports of students injured  search for su…,WatchPickWin
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,SOCALSIVAN
Arrest made in fatal shooting at elementary school in Kansas https://t.co/wB2YBoyMPq,AlBoeNEWS
RT @AlBoeNEWS: Arrest made in fatal shooting at elementary school in Kansas https://t.co/wB2YBoyMPq,Libertygranny
RT @AlBoeNEWS: Arrest made in fatal shooting at elementary school in Kansas https://t.co/wB2YBoyMPq,tbrennan666
